id,lei,data,outro_assunto,n_palavras,assunto,freq_assunto,artigo_1_revogado,internacional,f,fx,URL,epígrafe,ementa,Artigo 1º,dimensao_normativa,dimensao_ontológica,benevolencia_ameaça,benevolencia_benefício,benevolencia_neutra,funcao_social_segurança,funcao_social_segurança sexual,funcao_social_ECA,funcao_social_valoração,funcao_social_inclusão,funcao_social_consumo,funcao_social_cultura,funcao_social_democracia,funcao_social_transparência,funcao_social_nacionalismo,funcao_social_educação,funcao_social_burocrática,funcao_social_indivíduo,funcao_social_propriedade,funcao_social_privacidade,funcao_social_controle,funcao_social_saúde,funcao_social_comunicação,funcao_social_organização comunitária,funcao_social_direitos trabalhistas,funcao_social_integridade,funcao_social_comercial,funcao_social_mediação,funcao_social_burocrático,funcao_social_fiscal,funcao_social_esporte,funcao_social_meio ambiente,funcao_social_ciência,funcao_social_assunto_ECA,funcao_social_assunto_transparência,funcao_social_assunto_segurança,funcao_social_assunto_segurança sexual,funcao_social_assunto_democracia,funcao_social_assunto_tributação,funcao_social_assunto_direitos trabalhistas,funcao_social_assunto_salário,funcao_social_assunto_comercial,funcao_social_assunto_burocrática,funcao_social_assunto_mediação,funcao_social_assunto_inclusão,funcao_social_assunto_tansparência,funcao_social_assunto_esporte,funcao_social_assunto_fiscal,ramo_dogmatico_penal,ramo_dogmatico_civil,ramo_dogmatico_eleitoral,ramo_dogmatico_administrativo,ramo_dogmatico_processual,ramo_dogmatico_trabalhista,ramo_dogmatico_orçamentário,ramo_dogmatico_tributário,ramo_dogmatico_comercial,ramo_sociologico_violência,ramo_sociologico_violência sexual,ramo_sociologico_infância,ramo_sociologico_comunicação,ramo_sociologico_econômico,ramo_sociologico_político,ramo_sociologico_nacional,ramo_sociologico_burocrático,ramo_sociologico_individualização,ramo_sociologico_educação,ramo_sociologico_criminal,ramo_sociologico_segurança,ramo_sociologico_ciminal,ramo_sociologico_saúde,ramo_sociologico_trabalho,ramo_sociologico_ética,ramo_sociologico_rural,ramo_sociologico_cultura,ramo_sociologico_esporte,imposicao_reconhecimento_reconhece,imposicao_reconhecimento_impõe,ferramenta_ambiente_ambiente,ferramenta_ambiente_ferramenta
1,L-12.015,07/08/2009,1,1799,2,"0,00111",0,0,1,0,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l12015.htm,"LEI Nº 12.015, DE 7 DE AGOSTO DE 2009.","Altera o Título VI da Parte Especial do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e o art. 1º da Lei nº 8.072, de 25 de julho de 1990, que dispõe sobre os crimes hediondos, nos termos do inciso XLIII do art. 5º da Constituição Federal e revoga a Lei nº 2.252, de 1º de julho de 1954, que trata de corrupção de menores.","Esta Lei altera o Título VI da Parte Especial do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e o art. 1º da Lei no 8.072, de 25 de julho de 1990, que dispõe sobre os crimes hediondos, nos termos do inciso XLIII do art. 5º da Constituição Federal.",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2,L-12.965,23/04/2014,0,6698,128,"0,01911",0,0,0,1,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l12965.htm,"LEI Nº 12.965, DE 23 DE ABRIL DE 2014","Estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil.","Esta Lei estabelece princípios, garantias, direitos e deveres para o uso da internet no Brasil e determina as diretrizes para atuação da União, dos Estados, do Distrito Federal e dos Municípios em relação à matéria.",0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
3,L-13.179,22/10/2015,0,328,2,"0,0061",0,0,0,0,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13179.htm,"LEI Nº 13.179, DE 22 DE OUTUBRO DE 2015.",Obriga o fornecedor de ingresso para evento cultural pela internet a tornar disponível a venda de meia-entrada por esse veículo.,O fornecedor de ingresso para evento cultural pela internet é obrigado a tornar disponível a venda de meia-entrada por esse veículo.,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,L-11.300,10/05/2006,1,1434,4,"0,00279",0,0,1,0,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11300.htm,"LEI Nº 11.300, DE 10 DE MAIO DE 2006.","Dispõe sobre propaganda, financiamento e prestação de contas das despesas com campanhas eleitorais, alterando a Lei nº 9.504, de 30 de setembro de 1997.","A Lei nº 9.504, de 30 de setembro de 1997, passa a vigorar com as seguintes alterações:",1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5,L-12.686,18/07/2012,0,181,9,"0,04972",0,0,0,0,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12686.htm,"LEI Nº 12.686, DE 18 DE JULHO DE 2012.","Normatiza a divulgação de documentos institucionais produzidos em língua estrangeira, nos sítios e portais da rede mundial de computadores - internet mantidos por órgãos e entidades públicos.","Esta Lei normatiza a divulgação de documentos institucionais produzidos em língua estrangeira, em sítios e portais da Rede Mundial de Computadores - internet mantidos por órgãos e entidades públicos.",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6,L-13.828,13/05/2019,0,229,3,"0,0131",0,0,1,0,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13828.htm,"LEI Nº 13.828, DE 13 DE MAIO DE 2019","Altera a Lei nº 12.485, de 12 de setembro de 2011, lei da comunicação audiovisual de acesso condicionado, para incluir como direito dos assinantes a possibilidade de cancelamento dos serviços de TV por assinatura pessoalmente ou pela internet.","Esta Lei altera a Lei nº 12.485, de 12 de setembro de 2011, que dispõe sobre a comunicação audiovisual de acesso condicionado, incluindo como direito dos assinantes a possibilidade de cancelamento dos serviços de TV por assinatura pessoalmente ou pela internet.",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7,L-9.755,16/12/1998,0,658,4,"0,00608",0,0,0,0,https://www.planalto.gov.br/ccivil_03/leis/l9755.htm,"LEI Nº 9.755, DE 16 DE DEZEMBRO DE 1998.","Dispõe sobre a criação de ""homepage"" na ""Internet"", pelo Tribunal de Contas da União, para divulgação dos dados e informações que especifica, e dá outras providências.","O Tribunal de Contas da União criará _homepage_ na rede de computadores _Internet_ , com o título ""contas públicas"", para divulgação dos seguintes dados e informações:",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,L-14.172,10/06/2021,0,1903,12,"0,00631",0,0,0,1,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14172.htm,"LEI Nº 14.172, DE 10 DE JUNHO DE 2021","Dispõe sobre a garantia de acesso à internet, com fins educacionais, a alunos e a professores da educação básica pública.","Esta Lei dispõe sobre a assistência da União aos Estados e ao Distrito Federal para a garantia de acesso à internet, com fins educacionais, aos alunos e aos professores da educação básica pública, nos termos do inciso III do **caput** do art. 9º da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional).",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
9,L-11.341,07/08/2006,0,227,4,"0,01762",0,0,1,0,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11341.htm,"LEI Nº 11.341, DE 7 DE AGOSTO DE 2006.","Altera o parágrafo único do art. 541 do Código de Processo Civil - Lei nº 5.869, de 11 de janeiro de 1973, para admitir as decisões disponíveis em mídia eletrônica, inclusive na Internet, entre as suscetíveis de prova de divergência jurisprudencial.","O parágrafo único do art. 541 da Lei nº 5.869, de 11 de janeiro de 1973 - Código de Processo Civil , passa a vigorar com a seguinte redação:",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10,L-11.829,25/11/2008,0,944,5,"0,0053",0,0,1,0,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11829.htm,"LEI Nº 11.829, DE 25 DE NOVEMBRO DE 2008.","Altera a Lei nº 8.069, de 13 de julho de 1990 - Estatuto da Criança e do Adolescente, para aprimorar o combate à produção, venda e distribuição de pornografia infantil, bem como criminalizar a aquisição e a posse de tal material e outras condutas relacionadas à pedofilia na internet.","Os arts. 240 e 241 da Lei nº 8.069, de 13 de julho de 1990, passam a vigorar com a seguinte redação:",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
11,L-13.709,14/08/2018,0,16589,26,"0,00157",0,0,1,1,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm,"LEI Nº 13.709, DE 14 DE AGOSTO DE 2018","Dispõe sobre a proteção de dados pessoais e altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet). Lei Geral de Proteção de Dados Pessoais (LGPD). (Redação dada pela Lei nº 13.853, de 2019) Vigência","Esta Lei dispõe sobre o tratamento de dados pessoais, inclusive nos meios digitais, por pessoa natural ou por pessoa jurídica de direito público ou privado, com o objetivo de proteger os direitos fundamentais de liberdade e de privacidade e o livre desenvolvimento da personalidade da pessoa natural.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
12,L-14.351,25/05/2022,0,1974,38,"0,01925",0,0,1,0,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14351.htm,"LEI Nº 14.351, DE 25 DE MAIO DE 2022","Institui o Programa Internet Brasil; e altera as Leis nºs 4.117, de 27 de agosto de 1962 (Código Brasileiro de Telecomunicações), 5.768, de 20 de dezembro de 1971, 9.612, de 19 de fevereiro de 1998, 13.424, de 28 de março de 2017, e 14.172, de 10 de junho de 2021.","Fica instituído o Programa Internet Brasil, no âmbito do Ministério das Comunicações, com a finalidade de promover o acesso gratuito à internet em banda larga móvel aos alunos da educação básica integrantes de famílias inscritas no Cadastro Único para Programas Sociais do Governo Federal (CadÚnico) matriculados na rede pública de ensino, nas escolas das comunidades indígenas e quilombolas e nas escolas especiais sem fins lucrativos que atuam exclusivamente nessa modalidade.",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
