id,lei,nº lei,data,assunto: emenda lei [f()] / é emendado [f(x)],outro assunto [o],assunto,n_palavras,freq_assunto,quais_f,quais_fx,quais_f_o,quais_fx_o,epígrafe,ementa,Artigo 1º,URL,dimensão,benevolência,função social,função social especificamente ligada ao assunto,ramo (dogmático) do direito,ramo (sociológico) do direito,imposição/reconhecimento (pelo jurídico),ferramenta/ambiente,Artigo 1 revogado,efetivamente revogada [r],,
1,L-12.015,12015,07/08/2009,f(),o,2,1799,"0,111%","('altera', 'l', 8069)",,"('revoga', 'l', 2252);('altera', 'l', 2252);('altera', 'l', 8072);('altera', 'dl', 2848)",,"LEI Nº 12.015, DE 7 DE AGOSTO DE 2009.","Altera o Título VI da Parte Especial do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e o art. 1º da Lei nº 8.072, de 25 de julho de 1990, que dispõe sobre os crimes hediondos, nos termos do inciso XLIII do art. 5º da Constituição Federal e revoga a Lei nº 2.252, de 1º de julho de 1954, que trata de corrupção de menores.","Esta Lei altera o Título VI da Parte Especial do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e o art. 1º da Lei no 8.072, de 25 de julho de 1990, que dispõe sobre os crimes hediondos, nos termos do inciso XLIII do art. 5º da Constituição Federal.",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l12015.htm,normativa,ameaça,segurança;segurança sexual;ECA,ECA,penal,violência;violência sexual;infância,reconhece,ambiente,,,,
2,L-12.965,12965,23/04/2014,f(x),,128,6698,"1,911%",,"('redação dada', 'l', 13709)",,,"LEI Nº 12.965, DE 23 DE ABRIL DE 2014","Estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil.","Esta Lei estabelece princípios, garantias, direitos e deveres para o uso da internet no Brasil e determina as diretrizes para atuação da União, dos Estados, do Distrito Federal e dos Municípios em relação à matéria.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l12965.htm,ontológica,benefício,valoração;inclusão;consumo,,civil,comunicação,reconhece,ferramenta;ambiente,,,,
3,L-13.179,13179,22/10/2015,,,2,328,"0,610%",,,,,"LEI Nº 13.179, DE 22 DE OUTUBRO DE 2015.",Obriga o fornecedor de ingresso para evento cultural pela internet a tornar disponível a venda de meia-entrada por esse veículo.,O fornecedor de ingresso para evento cultural pela internet é obrigado a tornar disponível a venda de meia-entrada por esse veículo.,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13179.htm,normativa,benefício,cultura;consumo,,civil,econômico,impõe,ambiente,,,,
4,L-11.300,11300,10/05/2006,f(),o,4,1434,"0,279%","(None, 'l', 9504)",,,,"LEI Nº 11.300, DE 10 DE MAIO DE 2006.","Dispõe sobre propaganda, financiamento e prestação de contas das despesas com campanhas eleitorais, alterando a Lei nº 9.504, de 30 de setembro de 1997.","A Lei nº 9.504, de 30 de setembro de 1997, passa a vigorar com as seguintes alterações:",https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11300.htm,normativa,benefício,democracia;transparência,transparência,eleitoral,político,impõe,ferramenta,,,,
5,L-12.686,12686,18/07/2012,,,9,181,"4,972%",,,,,"LEI Nº 12.686, DE 18 DE JULHO DE 2012.","Normatiza a divulgação de documentos institucionais produzidos em língua estrangeira, nos sítios e portais da rede mundial de computadores - internet mantidos por órgãos e entidades públicos.","Esta Lei normatiza a divulgação de documentos institucionais produzidos em língua estrangeira, em sítios e portais da Rede Mundial de Computadores - internet mantidos por órgãos e entidades públicos.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12686.htm,normativa,benefício,inclusão;nacionalismo,,administrativo,nacional,impõe,ambiente,,,,
6,L-13.828,13828,13/05/2019,f(),,3,229,"1,310%","('altera', 'l', 12485)",,,,"LEI Nº 13.828, DE 13 DE MAIO DE 2019","Altera a Lei nº 12.485, de 12 de setembro de 2011, lei da comunicação audiovisual de acesso condicionado, para incluir como direito dos assinantes a possibilidade de cancelamento dos serviços de TV por assinatura pessoalmente ou pela internet.","Esta Lei altera a Lei nº 12.485, de 12 de setembro de 2011, que dispõe sobre a comunicação audiovisual de acesso condicionado, incluindo como direito dos assinantes a possibilidade de cancelamento dos serviços de TV por assinatura pessoalmente ou pela internet.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13828.htm,normativa,ameaça,consumo,,civil,econômico,impõe,ferramenta;ambiente,,,,
7,L-9.755,9755,16/12/1998,,,4,658,"0,608%",,,,,"LEI Nº 9.755, DE 16 DE DEZEMBRO DE 1998.","Dispõe sobre a criação de ""homepage"" na ""Internet"", pelo Tribunal de Contas da União, para divulgação dos dados e informações que especifica, e dá outras providências.","O Tribunal de Contas da União criará _homepage_ na rede de computadores _Internet_ , com o título ""contas públicas"", para divulgação dos seguintes dados e informações:",https://www.planalto.gov.br/ccivil_03/leis/l9755.htm,ontológica,neutra,transparência,,administrativo,burocrático,,ferramenta,,,,
8,L-14.172,14172,10/06/2021,f(x),,12,1903,"0,631%",,"('redação dada', 'l', 14351);('instituído', 'l', 9998)",,,"LEI Nº 14.172, DE 10 DE JUNHO DE 2021","Dispõe sobre a garantia de acesso à internet, com fins educacionais, a alunos e a professores da educação básica pública.","Esta Lei dispõe sobre a assistência da União aos Estados e ao Distrito Federal para a garantia de acesso à internet, com fins educacionais, aos alunos e aos professores da educação básica pública, nos termos do inciso III do **caput** do art. 9º da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional).",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14172.htm,normativa,benefício,inclusão;educação,,administrativo,educacional,impõe,ferramenta,,,,
9,L-11.341,11341,07/08/2006,f(),,4,227,"1,762%","('altera', 'l', 5869)",,,,"LEI Nº 11.341, DE 7 DE AGOSTO DE 2006.","Altera o parágrafo único do art. 541 do Código de Processo Civil - Lei nº 5.869, de 11 de janeiro de 1973, para admitir as decisões disponíveis em mídia eletrônica, inclusive na Internet, entre as suscetíveis de prova de divergência jurisprudencial.","O parágrafo único do art. 541 da Lei nº 5.869, de 11 de janeiro de 1973 - Código de Processo Civil , passa a vigorar com a seguinte redação:",https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11341.htm,normativa,benefício,burocrática,,processual,burocrático,reconhece,ambiente,,r,,
10,L-11.829,11829,25/11/2008,f(),,5,944,"0,530%","('altera', 'l', 8069)",,,,"LEI Nº 11.829, DE 25 DE NOVEMBRO DE 2008.","Altera a Lei nº 8.069, de 13 de julho de 1990 - Estatuto da Criança e do Adolescente, para aprimorar o combate à produção, venda e distribuição de pornografia infantil, bem como criminalizar a aquisição e a posse de tal material e outras condutas relacionadas à pedofilia na internet.","Os arts. 240 e 241 da Lei nº 8.069, de 13 de julho de 1990, passam a vigorar com a seguinte redação:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11829.htm,normativa,ameaça,ECA;segurança;segurança sexual,,penal,violência sexual;violência;infância,reconhece,ambiente,,,,
