id,epígrafe,ementa,Artigo 1º,Artigo 1 revogado,URL,file_name
13,,,,?,https://legis.senado.leg.br/norma/?numero=569&tipo_norma=lei&data=19371101&link=s,None
43,,,,?,https://legis.senado.leg.br/norma/?numero=138&tipo_norma=lei&data=19471113&link=s,None
28,"DECRETO-LEI Nº 5.384, DE 8 DE ABRIL DE 1943.",Dispõe sobre os beneficiários do seguro de vida,"Na falta de beneficiário nomeado, o seguro de vida será pago metade à mulher e metade aos herdeiros do segurado.",,https://www.planalto.gov.br/ccivil_03/decreto-lei/1937-1946/del5384.htm,del5384
30,"DECRETO-LEI Nº 6.227, DE 24 DE JANEIRO DE 1944.",Institui o código penal militar.,Não há crime sem lei anterior que o defina. Não há pena sem prévia cominação legal.,,https://www.planalto.gov.br/ccivil_03/decreto-lei/1937-1946/del6227.htm,del6227
27,"DECRETO-LEI Nº 4.244, DE 9 DE ABRIL DE 1942.",Lei orgânica do ensino secundário.,O ensino secundário tem as seguintes finalidades:,,https://www.planalto.gov.br/ccivil_03/decreto-lei/1937-1946/del4244.htm,del4244
130,"LEI Nº 9.799, DE 26 DE MAIO DE 1999.",Insere na Consolidação das Leis do Trabalho regras sobre o acesso da mulher ao mercado de trabalho e dá outras providências.,"A Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, passa a vigorar com as seguintes alterações:",,https://www.planalto.gov.br/ccivil_03/leis/l9799.htm,l9799
127,"LEI Nº 9.520, DE 27 DE NOVEMBRO DE 1997.","Revoga dispositivos do Decreto-lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal, referentes ao exercício do direito de queixa pela mulher.","Ficam revogados o art. 35, e seu parágrafo único, do Decreto-lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal.",,https://www.planalto.gov.br/ccivil_03/leis/l9520.htm,l9520
128,"LEI Nº 9.528, DE 10 DE DEZEMBRO DE 1997.","Altera dispositivos das Leis nºs 8.212 e 8.213, ambas de 24 de julho de 1991, e dá outras providências.","Ficam restabelecidos os arts. 34, 35, 98 e 99, e alterados os arts. 12, 22, 25, 28, 29, 30, 31, 32, 33, 38, 39, 45, 47, 55, 69, 94 e 97 da Lei nº 8.212, de 24 de julho de 1991, com a seguinte redação: (Vide Medida Provisória nº 359, de 2007)",,https://www.planalto.gov.br/ccivil_03/leis/l9528.htm,l9528
129,"LEI Nº 9.649, DE 27 DE MAIO DE 1998.","Dispõe sobre a organização da Presidência da República e dos Ministérios, e dá outras providências.","A Presidência da República é constituída, essencialmente, pela Casa Civil, pela Secretaria-Geral, pela Secretaria de Comunicação de Governo e pelo Gabinete de Segurança Institucional. (Redação dada pela Medida Provisória nº 2.216-37, de 2001) (Vide Decreto nº 4.046, de 2001.)",,https://www.planalto.gov.br/ccivil_03/leis/l9649cons.htm,l9649cons
87,"LEI No 6.828, DE 22 DE JULHO DE 1980.","Autoriza a reversão, a Bento Luíz de Almeida Prado, do terreno que menciona.","Fica o Poder Executivo autorizado a promover a reversão, ao Sr. Bento Luíz de Almeida Prado e sua mulher, Da. Maria da Pureza de Almeida Prado, do terreno com área de 6.400,00 m² (seis mil e quatrocentos metros quadrados), situado à margem direita da Estrada que liga Itapecerica da Serra à Vila de M’Boi Guaçu, Bairro de Mombaça, Município de Itapecerica da Serra, Estado de São Paulo, doado à União através de Escritura Pública de 30 de agosto de 1955, transcrita no Registro de Imóveis da Comarca da Cidade e Estado de São Paulo, sob o nº 72.384, no Livro 3-BB, às fls. 4.",,https://www.planalto.gov.br/ccivil_03/leis/1980-1988/l6828.htm,l6828
60,"LEI Nº 4.589, DE 11 DE DEZEMBRO DE 1964.","Extingue, a Comissão do Impôsto Sindical, a Comissão Técnica de orientação Sindical, cria órgãos no Ministério do Trabalho e Previdência Social, e dá outras providências.","São extintas a Comissão do Impôsto Sindical e a Comissão Técnica de Orientação Sindical e feitas, na estrutura administrativa do Ministério do Trabalho e Previdência Social e nas atribuições dos seus órgãos, as alterações constantes desta Lei.",,https://www.planalto.gov.br/ccivil_03/leis/l4589.htm,l4589
